Y Coordinates:
1.32842,1.59689,5.59979,5.7999,5.42631,0.461895,0.64657,0.230948,6,0.85134,2.02705,2.22073,3.26125,3.39386,1.19537,1.06366,3.81712,4.04305,4.20103,4.57482,4.764,4.3868,3,3.095,3.59613,0,4.95317,5.14454,1.87201,2.51863,2.68117,2.8404,

 Time(s),  P(Pa) on vertices
1200,128696,125100,14315,7167.38,20481.4,135884,134923,136630,0,133495,118060,114396,89938.9,86315.2,130231,131608,74032,67098.2,62111.7,49899.8,43520.9,56107.3,96787.9,94346.9,80563.8,136891,37048.2,30399.5,120778,108195,104520,100749,
1225,125002,121509,13904.1,6961.61,19893.3,131983,131050,132708,0,129663,114671,111112,87356.9,83837.3,126492,127830,71906.7,65171.9,60328.6,48467.3,42271.4,54496.5,94009.3,91638.4,78251,132962,35984.6,29526.7,117311,105089,101519,97856.5,
1250,121413,118021,13504.9,6761.75,19322.2,128194,127288,128899,0,125940,111379,107922,84849.1,81430.5,122861,124160,69842.4,63301,58596.7,47075.8,41057.9,52932,91310.6,89007.7,76004.6,129145,34951.5,28679.1,113943,102072,98604.7,95047.3,
1275,117928,114633,13117.2,6567.63,18767.5,124514,123634,125199,0,122325,108182,104824,82413.3,79092.8,119334,120596,67837.4,61483.7,56914.5,45724.4,39879.2,51412.4,88689.3,86452.5,73822.7,125438,33948.1,27855.7,110672,99142,95774.1,92318.8,
1300,114543,111342,12740.6,6379.09,18228.7,120940,120085,121605,0,118814,105076,101815,80047.4,76822.3,115909,117134,65889.9,59718.7,55280.6,44411.7,38734.3,49936.5,86143.3,83970.7,71703.4,121837,32973.5,27056.1,107495,96295.9,93024.7,89668.5,
1325,111254,108146,12374.9,6195.96,17705.4,117468,116638,118114,0,115403,102060,98892.3,77749.5,74616.9,112581,113771,63998.4,58004.3,53693.6,43136.8,37622.4,48502.9,83670.3,81560.1,69645,118339,32026.9,26279.3,104409,93531.6,90354.2,87094.4,
1350,108061,105041,12019.6,6018.08,17197.1,114096,113289,114723,0,112090,99129.9,96053.4,75517.5,72474.9,109350,110505,62161.2,56339.1,52152.2,41898.4,36542.3,47110.5,81268.4,79218.8,67645.7,114942,31107.5,25524.9,101412,90846.6,87760.4,84594.2,
1375,104959,102026,11674.5,5845.32,16703.5,110821,110037,111430,0,108872,96284.2,93296,73349.6,70394.3,106210,107333,60376.7,54721.8,50655.1,40695.6,35493.3,45758.1,78935.4,76944.6,65703.7,111642,30214.5,24792.2,98500.9,88238.6,85241.1,82165.8,
1400,101946,99097.2,11339.4,5677.52,16223.9,107639,106878,108231,0,105747,93520.2,90617.8,71244,68373.5,103162,104252,58643.5,53150.9,49200.9,39527.4,34474.4,44444.5,76669.4,74735.8,63817.6,108438,29347.1,24080.4,95673.2,85705.6,82794.1,79807,
1425,99019.1,96252.4,11013.9,5514.53,15758.2,104549,103810,105124,0,102711,90835.5,88016.5,69198.8,66410.7,100200,101259,56960,51625.1,47788.5,38392.6,33484.7,43168.6,74468.5,72590.3,61985.6,105325,28504.6,23389.2,92926.7,83245.2,80417.3,77516,
1450,96176.6,93489.3,10697.7,5356.22,15305.8,101548,100830,102106,0,99762.8,88227.9,85489.8,67212.3,64504.3,97323.7,98352.5,55324.8,50143.1,46416.6,37290.5,32523.5,41929.4,72330.7,70506.5,60206.1,102301,27686.4,22717.7,90259.1,80855.5,78108.8,75290.8,
1475,93415.6,90805.5,10390.6,5202.46,14866.4,98633,97935.7,99175.2,0,96898.9,85695.2,83035.6,65282.8,62652.5,94529.8,95529.1,53736.6,48703.6,45084.1,36220,31589.8,40725.7,70254.3,68482.5,58477.8,99364.4,26891.6,22065.6,87668.1,78534.4,75866.5,73129.4,
1500,90734,88198.8,10092.3,5053.12,14439.7,95801.6,95124.2,96328.2,0,94117.3,83235.1,80651.9,63408.8,60854,91816.2,92786.8,52194,47305.5,43789.9,35180.2,30682.9,39556.6,68237.5,66516.5,56799.1,96512,26119.6,21432.1,85151.4,76279.9,73688.6,71030.1,
1525,88129.3,85666.9,9802.6,4908.06,14025.2,93051.4,92393.5,93562.9,0,91415.5,80845.7,78336.7,61588.5,59107,89180.4,90123.2,50695.7,45947.5,42532.8,34170.3,29802.1,38421.1,66278.7,64607.1,55168.6,93741.5,25369.8,20816.9,82707,74090.2,71573.2,68991,
1550,85599.4,83207.7,9521.2,4767.16,13622.5,90380.2,89741.2,90877,0,88791.2,78524.9,76087.9,59820.5,57410.3,86620.3,87536,49240.3,44628.5,41311.8,33189.4,28946.6,37318.1,64376,62752.4,53584.8,91050.4,24641.5,20219.3,80332.7,71963.3,69518.6,67010.5,
1575,83142.1,80819,9247.87,4630.31,13231.5,87785.7,87165,88268.2,0,86242.3,76270.7,73903.6,58103.2,55762.2,84133.7,85023.1,47826.8,43347.3,40125.9,32236.6,28115.6,36246.8,62528,60951,52046.6,88436.7,23934.1,19638.9,78026.6,69897.4,67522.9,65086.8,
1600,80755.3,78499,8982.39,4497.39,12851.6,85265.6,84662.8,85734.3,0,83766.6,74081.2,71782.1,56435.3,54161.4,81718.5,82582.4,46453.9,42103,38974,31311.2,27308.5,35206.3,60733,59201.3,50552.5,85897.9,23247,19075.1,75786.7,67890.9,65584.6,63218.4,
1625,78437.1,76245.5,8724.54,4368.28,12482.7,82817.9,82232.4,83273.2,0,81361.9,71954.5,69721.4,54815.2,52606.6,79372.6,80211.7,45120.3,40894.3,37855.2,30412.4,26524.6,34195.6,58989.5,57501.8,49101.3,83432.1,22579.7,18527.5,73611.1,65942,63701.8,61403.6,
1650,76185.4,74056.8,8474.08,4242.88,12124.4,80440.5,79871.7,80882.7,0,79026.2,69888.9,67720,53241.6,51096.5,77094.1,77909.1,43825,39720.4,36768.5,29539.3,25763.1,33214,57296.1,55851.1,47691.7,81037,21931.5,17995.6,71498,64049,61873.2,59640.9,
1675,73998.4,71930.8,8230.82,4121.08,11776.3,78131.3,77578.9,78560.8,0,76757.6,67882.7,65775.9,51713.2,49629.6,74881,75672.6,42567,38580.1,35713,28691.3,25023.6,32260.5,55651.3,54247.8,46322.7,78710.7,21301.9,17479,69445.5,62210.3,60097,57928.8,
1700,71874.1,69865.9,7994.54,4002.78,11438.3,75888.4,75351.8,76305.5,0,74554.2,65933.9,63887.7,50228.7,48204.9,72731.4,73500.2,41345,37472.6,34687.8,27867.7,24305.2,31334.4,54053.7,52690.5,44992.9,76451.1,20690.4,16977.3,67451.9,60424.5,58371.8,56265.8,
1725,69810.8,67860.3,7765.04,3887.87,11109.9,73709.9,73188.7,74115,0,72414,64041.2,62053.7,48786.8,46821.1,70643.5,71390.3,40158.1,36396.9,33692,27067.7,23607.5,30434.9,52502,51177.9,43701.3,74256.5,20096.4,16489.9,65515.6,58689.9,56696.1,54650.6,
1750,67806.8,65912.2,7542.13,3776.26,10791,71593.9,71087.7,71987.4,0,70335.2,62202.8,60272.3,47386.2,45477,68615.5,69340.9,39005.3,35352,32724.8,26290.7,22929.8,29561.2,50994.9,49708.7,42446.7,72124.8,19519.5,16016.5,63634.8,57005.1,55068.5,53081.8,
1775,65860.3,64020.1,7325.62,3667.86,10481.2,69538.6,69047,69920.9,0,68316.1,60417.1,58542.1,46025.9,44171.5,66645.8,67350.3,37885.6,34337.2,31785.4,25535.9,22271.5,28712.6,49531,48281.7,41228.2,70054.3,18959.2,15556.7,61808.1,55368.6,53487.7,51558,
1800,63969.6,62182.3,7115.32,3562.56,10180.3,67542.4,67064.9,67913.7,0,66354.9,58682.7,56861.5,44704.7,42903.5,64732.6,65416.9,36798,33351.5,30872.9,24802.9,21632.2,27888.3,48109.1,46895.7,40044.7,68043.3,18414.9,15110.2,60033.7,53779.2,51952.2,50077.9,
1825,62133.2,60397.2,6911.06,3460.29,9888.06,65603.5,65139.6,65964.1,0,64450.1,56998.1,55229.2,43421.3,41671.9,62874.3,63539,35741.6,32394.1,29986.6,24090.9,21011.2,27087.7,46728,45549.5,38895.1,66089.9,17886.3,14676.4,58310.4,52235.3,50460.8,48640.3,
1850,60349.6,58663.4,6712.67,3360.96,9604.21,63720.2,63269.7,64070.4,0,62599.9,55361.9,53643.7,42174.8,40475.6,61069.4,61715,34715.6,31464.1,29125.8,23399.3,20408,26310.1,45386.6,44241.9,37778.6,64192.7,17372.8,14255.1,56636.5,50735.8,49012.2,47244,
1875,58617.1,56979.3,6519.97,3264.48,9328.5,61891,61453.4,62231.2,0,60802.9,53772.6,52103.8,40964.1,39313.7,59316.3,59943.3,33719,30560.9,28289.7,22727.6,19822.2,25554.9,44083.7,42971.9,36694.1,62349.9,16874.1,13845.9,55010.6,49279.3,47605.3,45887.8,
1900,56934.4,55343.6,6332.8,3170.76,9060.71,60114.3,59689.3,60444.7,0,59057.4,52229,50608.1,39788.2,38185.1,57613.5,58222.5,32751.1,29683.6,27477.6,22075.1,19253.1,24821.3,42818.2,41738.3,35640.7,60560.1,16389.7,13448.4,53431.4,47864.7,46238.7,44570.5,
1925,55300,53754.9,6151,3079.74,8800.6,58388.6,57975.8,58709.5,0,57362,50729.6,49155.3,38646,37088.9,55959.6,56551.1,31810.9,28831.4,26688.8,21441.4,18700.4,24108.7,41589,40540.1,34617.6,58821.6,15919.2,13062.3,51897.6,46490.6,44911.3,43291,
1950,53712.5,52211.7,5974.43,2991.33,8547.96,56712.4,56311.4,57024.2,0,55715.3,49273.3,47744.2,37536.6,36024.2,54353.1,54927.7,30897.7,28003.8,25922.6,20825.9,18163.6,23416.6,40395.1,39376.3,33623.8,57133,15462.2,12687.3,50407.7,45156,43622,42048.2,
1975,52170.6,50712.9,5802.92,2905.46,8302.58,55084.4,54694.9,55387.2,0,54115.9,47858.9,46373.6,36459,34990,52792.8,53350.9,30010.7,27199.9,25178.5,20228.1,17642.2,22744.4,39235.5,38245.9,32658.6,55492.9,15018.3,12323.1,48960.7,43859.7,42369.8,40841.1,
2000,50672.9,49257.1,5636.33,2822.05,8064.23,53503.1,53124.8,53797.2,0,52562.4,46485,45042.3,35412.4,33985.6,51277.3,51819.4,29149.2,26419.1,24455.7,19647.4,17135.7,22091.5,38109.1,37148,31721,53899.8,14587.2,11969.4,47555.2,42600.7,41153.5,39668.7,
2025,49218.3,47843.1,5474.53,2741.04,7832.74,51967.2,51599.7,52252.8,0,51053.5,45150.5,43749.3,34395.8,33010,49805.3,50331.8,28312.4,25660.6,23753.6,19083.4,16643.8,21457.3,37015.2,36081.6,30810.4,52352.5,14168.5,11625.8,46190,41377.7,39972.1,38530,
2050,47805.3,46469.6,5317.37,2662.35,7607.88,50475.3,50118.5,50752.8,0,49587.9,43854.4,42493.4,33408.4,32062.4,48375.5,48886.9,27499.6,24924,23071.7,18535.5,16166,20841.3,35952.6,35045.8,29925.9,50849.6,13761.7,11292,44864,40189.9,38824.6,37423.9,
