Y Coordinates:
0,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1,1.11111,1.22222,1.33333,1.44444,1.55556,1.66667,1.77778,1.88889,2,2.11111,2.22222,2.33333,2.44445,2.55556,2.66667,2.77778,2.88889,3,3.11111,3.22222,3.33333,3.44444,3.55556,3.66667,3.77778,3.88889,4,4.11111,4.22222,4.33333,4.44444,4.55556,4.66667,4.77778,4.88889,5,5.11111,5.22222,5.33333,5.44445,5.55556,5.66667,5.77778,5.88889,6,

 Time(s),  P(Pa) on vertices
2050,50842.8,50821.8,50756.6,50650.7,50498.5,50304.3,50070.4,49790.5,49473.7,49109.4,48705.4,48260.3,47774.8,47251,46683.8,46078.6,45433.7,44751.4,44030.4,43273.8,42477.4,41646.4,40782,39880.8,38947.5,37981.8,36981.6,35950.9,34890.8,33801.4,32681.1,31534.4,30361.8,29162,27939.7,26690.5,25421,24129,22817.2,21486,20137.6,18771.3,17388.6,15991.7,14581.5,13158.9,11725.5,10281.2,8828.64,7368.78,5902.39,4431.18,2956.35,1478.77,0,
2075,49383.2,49362.8,49299.5,49196.6,49048.8,48860.2,48633,48361.2,48053.4,47699.6,47307.2,46874.9,46403.3,45894.5,45343.6,44755.8,44129.4,43466.7,42766.4,42031.5,41257.9,40450.8,39611.3,38735.9,37829.4,36891.5,35920,34918.8,33889.1,32831,31742.9,30629.1,29490.2,28324.8,27137.6,25924.3,24691.2,23436.3,22162.1,20869.1,19559.5,18232.4,16889.4,15532.6,14162.9,12781.1,11388.9,9986.04,8575.19,7157.24,5732.94,4303.97,2871.48,1436.32,0,
2100,47965.5,47945.7,47884.2,47784.3,47640.7,47457.5,47236.9,46972.8,46673.9,46330.3,45949.1,45529.2,45071.2,44577,44041.9,43470.9,42862.5,42218.9,41538.7,40824.9,40073.5,39289.5,38474.1,37623.9,36743.4,35832.4,34888.8,33916.4,32916.2,31888.5,30831.6,29749.8,28643.6,27511.7,26358.5,25180,23982.4,22763.5,21525.9,20270,18998,17709,16404.5,15086.7,13756.3,12414.2,11062,9699.36,8329.01,6951.77,5568.36,4180.41,2789.05,1395.08,0,
2125,46588.5,46569.3,46509.6,46412.5,46273.1,46095.1,45880.8,45624.3,45334,45000.2,44630,44222.1,43777.3,43297.2,42777.5,42223,41632,41006.8,40346.2,39652.9,38923.1,38161.6,37369.6,36543.8,35688.5,34803.7,33887.2,32942.7,31971.3,30973.1,29946.5,28895.8,27821.3,26721.9,25601.8,24457.2,23293.9,22110,20907.9,19688.1,18452.6,17200.6,15933.6,14653.6,13361.4,12057.8,10744.4,9420.91,8089.91,6752.2,5408.51,4060.4,2708.98,1355.03,0,
2150,45251.1,45232.4,45174.4,45080.1,44944.7,44771.8,44563.7,44314.5,44032.5,43708.3,43348.8,42952.6,42520.5,42054.3,41549.5,41010.8,40436.9,39829.6,39187.9,38514.5,37805.7,37066.1,36296.8,35494.7,34664,33804.6,32914.4,31997,31053.4,30083.9,29086.8,28066.2,27022.6,25954.8,24866.8,23755,22625.2,21475.3,20307.7,19122.9,17922.8,16706.8,15476.2,14232.9,12977.8,11711.7,10435.9,9150.46,7857.66,6558.36,5253.24,3943.84,2631.21,1316.13,0,
2175,43952,43933.8,43877.5,43785.9,43654.4,43486.5,43284.3,43042.4,42768.4,42453.6,42104.3,41719.5,41299.8,40847,40356.7,39833.5,39276,38686.2,38062.9,37408.8,36720.4,36002,35254.8,34475.7,33668.9,32834.1,31969.5,31078.4,30162,29220.2,28251.8,27260.5,26246.9,25209.7,24153,23073.1,21975.7,20858.8,19724.7,18573.9,17408.3,16227.2,15031.9,13824.3,12605.3,11375.4,10136.3,8887.77,7632.08,6370.08,5102.43,3830.62,2555.67,1278.35,0,
2200,42690.3,42672.6,42617.9,42528.9,42401.2,42238.1,42041.7,41806.7,41540.7,41234.8,40895.6,40521.9,40114.2,39674.4,39198.1,38689.9,38148.5,37575.6,36970.2,36334.9,35666.2,34968.4,34242.7,33486,32702.3,31891.5,31051.7,30186.2,29296.1,28381.4,27440.7,26477.9,25493.4,24485.9,23459.6,22410.7,21344.8,20259.9,19158.5,18040.7,16908.6,15761.4,14600.3,13427.5,12243.4,11048.9,9845.35,8632.62,7412.98,6187.21,4955.95,3720.65,2482.3,1241.65,0,
2225,41464.7,41447.6,41394.4,41308,41183.9,41025.5,40834.8,40606.5,40348.1,40051.1,39721.6,39358.6,38962.6,38535.4,38072.8,37579.2,37053.3,36496.9,35908.9,35291.8,34642.3,33964.6,33259.7,32524.7,31763.5,30976,30160.3,29319.6,28455.1,27566.6,26653,25717.8,24761.5,23783,22786.1,21767.3,20732,19678.3,18608.5,17522.8,16423.2,15308.9,14181.2,13042,11891.9,10731.7,9562.71,8384.79,7200.17,6009.59,4813.68,3613.84,2411.04,1206,0,
2250,40274.3,40257.7,40206.1,40122.1,40001.6,39847.8,39662.5,39440.8,39189.8,38901.3,38581.2,38228.7,37844.1,37429.1,36979.8,36500.4,35989.6,35449.1,34878,34278.7,33647.8,32989.5,32304.9,31590.9,30851.6,30086.7,29294.4,28477.9,27638.2,26775.2,25887.8,24979.5,24050.6,23100.2,22132,21142.4,20136.8,19113.4,18074.3,17019.8,15951.7,14869.4,13774.1,12667.6,11550.5,10423.6,9288.19,8144.08,6993.47,5837.07,4675.49,3510.09,2341.83,1171.38,0,
2275,39118.1,39102,39051.8,38970.3,38853.3,38703.8,38523.9,38308.5,38064.7,37784.5,37473.7,37131.2,36757.7,36354.6,35918.2,35452.6,34956.4,34431.5,33876.8,33294.6,32681.8,32042.4,31377.4,30684,29965.9,29223,28453.5,27660.4,26844.7,26006.6,25144.6,24262.4,23360.2,22437.1,21496.6,20535.5,19558.8,18564.7,17555.4,16531.2,15493.7,14442.5,13378.7,12303.9,11218.9,10124.4,9021.54,7910.28,6792.7,5669.5,4541.26,3409.32,2274.6,1137.75,0,
