Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
925,17724.6,17679.7,17545.9,17323.8,17014.5,16619.6,16141.5,15585.3,14941.8,14225.8,13440.3,12589.7,11673.5,10698,9668.85,8591.05,7470.17,6313.21,5121.07,3904.46,2668.48,2543.42,2417.15,2289.65,2160.98,2031.24,1900.57,1768.81,1636.15,1502.73,1368.58,1233.67,1098.16,962.1,825.548,688.587,551.284,413.713,275.924,138.001,0,
950,16114.8,16074.1,15952.4,15750.5,15469.3,15110.2,14675.5,14169.8,13584.8,12933.8,12219.7,11446.3,10613.3,9726.38,8790.72,7810.81,6791.73,5739.84,4655.97,3549.86,2426.13,2312.43,2197.63,2081.7,1964.72,1846.77,1727.96,1608.17,1487.56,1366.25,1244.29,1121.63,998.425,874.723,750.572,626.05,501.216,376.139,250.865,125.468,0,
975,14651.3,14614.2,14503.6,14320,14064.4,13737.9,13342.7,12882.9,12351,11759.2,11109.9,10406.8,9649.43,8843.04,7992.35,7101.44,6174.91,5218.55,4233.12,3227.46,2205.79,2102.42,1998.04,1892.64,1786.29,1679.04,1571.03,1462.11,1352.46,1242.17,1131.28,1019.76,907.749,795.28,682.405,569.192,455.696,341.978,228.081,114.073,0,
1000,13320.7,13287,13186.4,13019.5,12787,12490.2,12130.9,11712.9,11229.3,10691.2,10100.9,9461.65,8773.07,8039.91,7266.49,6456.49,5614.11,4744.61,3848.67,2934.34,2005.46,1911.48,1816.58,1720.75,1624.06,1526.55,1428.35,1329.32,1229.63,1129.35,1028.54,927.146,825.307,723.053,620.43,517.498,414.31,310.92,207.367,103.713,0,
1025,12110.9,12080.2,11988.8,11837.1,11625.7,11355.8,11029.2,10649.2,10209.4,9720.24,9183.53,8602.34,7976.3,7309.73,6606.55,5870.11,5104.24,4313.7,3499.13,2667.85,1823.32,1737.88,1651.6,1564.47,1476.56,1387.91,1298.63,1208.6,1117.95,1026.79,935.126,842.943,750.353,657.386,564.082,470.499,376.682,282.682,188.534,94.2936,0,
1050,11011,10983.1,10900,10762,10569.9,10324.5,10027.5,9682,9282.22,8837.45,8349.49,7821.08,7251.89,6645.86,6006.54,5336.99,4640.67,3921.93,3181.34,2425.55,1657.73,1580.04,1501.6,1422.39,1342.46,1261.86,1180.69,1098.83,1016.42,933.533,850.198,766.387,682.206,597.682,512.853,427.768,342.472,257.009,171.411,85.7298,0,
1075,10011,9985.64,9910.07,9784.61,9609.93,9386.84,9116.82,8802.68,8439.21,8034.83,7591.19,7110.77,6593.28,6042.29,5461.03,4852.28,4219.21,3565.74,2892.41,2205.27,1507.18,1436.54,1365.23,1293.21,1220.54,1147.26,1073.46,999.036,924.111,848.75,772.983,696.784,620.248,543.401,466.275,388.919,311.369,233.668,155.844,77.9439,0,
1100,9101.77,9078.75,9010.04,8895.98,8737.16,8534.33,8288.83,8003.22,7672.76,7305.11,6901.76,6464.97,5994.48,5493.53,4965.06,4411.6,3836.02,3241.9,2629.73,2004.98,1370.29,1306.08,1241.24,1175.76,1109.69,1043.07,975.965,908.303,840.183,771.667,702.781,633.502,563.917,494.049,423.928,353.597,283.09,212.446,141.69,70.865,0,
1125,8275.15,8254.22,8191.75,8088.05,7943.65,7759.24,7536.04,7276.37,6975.92,6641.66,6274.94,5877.82,5450.06,4994.61,4514.14,4010.94,3487.63,2947.47,2390.89,1822.89,1245.84,1187.46,1128.51,1068.98,1008.91,948.336,887.328,825.811,763.878,701.584,638.955,575.968,512.703,449.18,385.427,321.484,257.38,193.152,128.822,64.4291,0,
1150,7523.6,7504.57,7447.78,7353.49,7222.21,7054.55,6851.62,6615.53,6342.37,6038.47,5705.05,5344,4955.09,4541,4104.16,3646.67,3170.89,2679.79,2173.75,1657.34,1132.7,1079.61,1026.02,971.893,917.279,862.208,806.741,750.811,694.503,637.866,580.925,523.658,466.139,408.385,350.423,292.286,234.005,175.61,117.122,58.5776,0,
